name,number_votes,share_votes,district,affiliation
Szincsák Sándor,149,0.38,Hajdúszoboszló,TEMPO
Dr. Kerekes László,235,0.59,Hajdúszoboszló,SZOCIÁLDEMOKRATÁK
Papp Lajos,419,1.06,Hajdúszoboszló,A HAZA NEM ELADÓ
Horváth András,2418,5.41,Debrecen,LMP
Szendrei Attila,407,0.91,Debrecen,A HAZA NEM ELADÓ
Kósa Lajos,21013,47.06,Debrecen,FIDESZ-KDNP
Herpergel Róbert,7805,17.48,Debrecen,JOBBIK
Tankovszki András,133,0.30,Debrecen,JESZ
Kovács István József,63,0.14,Debrecen,MGP
Dr. Szegedi István,12012,26.90,Debrecen,MSZP-EGYÜTT-DK-PM-MLP
Endrész Boldizsár,90,0.20,Debrecen,SZDP
Bakk István,68,0.15,Debrecen,SZOCIÁLDEMOKRATÁK
Domboróczki Rita,496,1.11,Debrecen,ZÖLDEK
Szabó Sándor,150,0.34,Debrecen,ÖP
Székely János,343,0.82,Debrecen,A HAZA NEM ELADÓ
Pallás György,7288,17.41,Debrecen,MSZP-EGYÜTT-DK-PM-MLP
Kádi István Lajos,1300,3.11,Debrecen,LMP
Alföldi-Lakatos Gábor,256,0.61,Debrecen,MCP
Kajdiné Virág Katalin,210,0.50,Debrecen,SMS
Ágoston Tibor,10441,24.94,Debrecen,JOBBIK
Tóth Csaba István,65,0.16,Debrecen,MACSEP
Tasó László,21619,51.64,Debrecen,FIDESZ-KDNP
Géhl Attila,50,0.12,Debrecen,MKSZU
Leiterné Pálfalvi Petra,88,0.21,Debrecen,SZOCIÁLDEMOKRATÁK
Juhászné Drabik Erzsébet,19,0.05,Debrecen,MRPP
Nagy Judit Erzsébet,112,0.27,Debrecen,ÖP
Czeglédi Norbert Tamás,71,0.17,Debrecen,JESZ
Kőszeghy Csanád Ábel,9651,22.09,Debrecen,JOBBIK
Szűcs István,374,0.86,Debrecen,SMS
Görög Jenő,2363,5.41,Debrecen,LMP
Dr. Nagy Attila,236,0.54,Debrecen,KISGAZDAPÁRT-MIÉP
Dr. Rónai György,10501,24.03,Debrecen,MSZP-EGYÜTT-DK-PM-MLP
Lakatosné Marinka Andrea,165,0.38,Debrecen,JESZ
Tóth Sebestyén,377,0.86,Debrecen,SEM
Dávidné Németi Imola Erika,178,0.41,Debrecen,SZOCIÁLDEMOKRATÁK
Dr. Pósán László,19847,45.42,Debrecen,FIDESZ-KDNP
Szabó Hajnalka,56,0.13,Törökszentmiklós,MDU
Lakatos Gusztáv,83,0.19,Törökszentmiklós,MCP
Váradi László,74,0.17,Törökszentmiklós,SZOCIÁLDEMOKRATÁK
Török Ferenc,117,0.27,Törökszentmiklós,FKGP
Csányi Tamás,13436,30.62,Törökszentmiklós,JOBBIK
Boldog István,18524,42.21,Törökszentmiklós,FIDESZ-KDNP
Nagy Andrásné,94,0.21,Törökszentmiklós,JESZ
Pozsonyi Péter,490,1.12,Törökszentmiklós,MUNKÁSPÁRT
Sándor Gáborné,294,0.67,Törökszentmiklós,A HAZA NEM ELADÓ
Sallai Róbert Benedek,1128,2.57,Törökszentmiklós,LMP
Rózsa Endre,9386,21.39,Törökszentmiklós,MSZP-EGYÜTT-DK-PM-MLP
Juhász Ferenc,202,0.46,Törökszentmiklós,SMS
Dr. Liszák János,134,0.32,Jászberény,KTI
Nagy János,344,0.81,Jászberény,Független
Budai Lóránt,12783,30.06,Jászberény,JOBBIK
Turi Kristóf Tamás,269,0.63,Jászberény,MUNKÁSPÁRT
Ménkű Ottó,1027,2.42,Jászberény,LMP
Szűcs Károly,25,0.06,Jászberény,NEMZETI ÉRDEKÉRT
Korsós András,24,0.06,Jászberény,MGP
Kökény Kálmán,131,0.31,Jászberény,SZOCIÁLDEMOKRATÁK
Jámbor László,172,0.40,Jászberény,A HAZA NEM ELADÓ
Dankó István,210,0.49,Jászberény,JESZ
Dr. Szekeres Imre Jenő,8594,20.21,Jászberény,MSZP-EGYÜTT-DK-PM-MLP
Kövendi Erzsébet,183,0.43,Jászberény,SMS
Pócs János,18200,42.80,Jászberény,FIDESZ-KDNP
Pásztor László,56,0.13,Jászberény,ÖP
Járvás István,367,0.86,Jászberény,FKGP
Kapás József,226,0.50,Karcag,SMS
Tóthné Ábrahám Edit,263,0.59,Karcag,A HAZA NEM ELADÓ
Péntek Ildikó,948,2.12,Karcag,LMP
Málovits Martin Dániel,12,0.03,Karcag,ÚMP
Kalló Levente,85,0.19,Karcag,MCP
Dr. Lukács László György,11511,25.69,Karcag,JOBBIK
Pásztorné Kovács Krisztina,72,0.16,Karcag,ÖP
Ozsváth László,7719,17.22,Karcag,MSZP-EGYÜTT-DK-PM-MLP
Dr. Fazekas Sándor,23201,51.77,Karcag,FIDESZ-KDNP
Dull Krisztián Norbert,434,0.97,Karcag,MUNKÁSPÁRT
Engler Ildikó,20,0.04,Karcag,NEMZETI ÉRDEKÉRT
Földesné Keresztes Mariann Szilvia,83,0.19,Karcag,JESZ
Farkas László,161,0.36,Karcag,SZOCIÁLDEMOKRATÁK
Nagy Gyula,80,0.18,Karcag,FKGP
Baráth Zsolt György,13157,25.63,Szolnok,JOBBIK
Kézér Tamás,212,0.41,Szolnok,FKGP
Iváncsik Imre,14574,28.39,Szolnok,MSZP-EGYÜTT-DK-PM-MLP
Nagy József,51,0.10,Szolnok,AQP
Jakab János,126,0.25,Szolnok,MCP
Bencsik Mihály,604,1.18,Szolnok,MUNKÁSPÁRT
Hadvina Zsolt József,112,0.22,Szolnok,MGP
Dr. Pálfi Miklós,176,0.34,Szolnok,SZOCIÁLDEMOKRATÁK
Dr. Kenyeresné Kosik Ilona,148,0.29,Szolnok,JESZ
Dr. Bene Ildikó,19146,37.30,Szolnok,FIDESZ-KDNP
Dr. Pető Ernő Zoltán,2303,4.49,Szolnok,LMP
Horváth Zoltán,393,0.77,Szolnok,SMS
Hári Antal Dezső,296,0.58,Szolnok,A HAZA NEM ELADÓ
Reiner Tibor,37,0.07,Szolnok,NEMZETI ÉRDEKÉRT
